roomid,实际房间
1-101,1-101
1-102,1-102
1-103,1-103
1-104,1-104
1-105,1-105
1-106,1-106
1-107,1-107
1-108,1-108
1-109,1-109
1-110,1-110
1-111,1-111
1-112,1-112
1-113,1-113
1-114,1-114
1-115,1-115
1-116,1-116
1-117,1-117
1-119,1-119
1-121,1-121
1-123,1-123
1-125,1-125
1-127,1-127
1-129,1-129
1-131,1-131
1-133,1-133
1-135,1-135
1-201,1-201
1-202,1-202
1-203,1-203
1-204,1-204
1-205,1-205
1-206,1-206
1-207,1-207
1-208,1-208
1-209,1-209
1-210,1-210
1-211,1-211
1-212,1-212
1-213,1-213
1-214,1-214
1-215,1-215
1-216,1-216
1-217,1-217
1-218,1-218
1-219,1-219
1-220,1-220
1-221,1-221
1-223,1-223
1-225,1-225
1-227,1-227
1-229,1-229
1-231,1-231
1-233,1-233
1-235,1-235
1-301,1-301
1-302,1-302
1-303,1-303
1-304,1-304
1-305,1-305
1-306,1-306
1-307,1-307
1-308,1-308
1-309,1-309
1-310,1-310
1-311,1-311
1-312,1-312
1-313,1-313
1-314,1-314
1-315,1-315
1-316,1-316
1-317,1-317
1-318,1-318
1-319,1-319
1-320,1-320
1-321,1-321
1-323,1-323
1-325,1-325
1-327,1-327
1-329,1-329
1-331,1-331
1-333,1-333
1-335,1-335
1-401,1-401
1-402,1-402
1-403,1-403
1-404,1-404
1-405,1-405
1-406,1-406
1-407,1-407
1-408,1-408
1-409,1-409
1-410,1-410
1-411,1-411
1-412,1-412
1-413,1-413
1-414,1-414
1-415,1-415
1-416,1-416
1-417,1-417
1-418,1-418
1-419,1-419
1-420,1-420
1-421,1-421
1-422,1-422
1-423,1-423
1-425,1-425
1-427,1-427
1-429,1-429
1-431,1-431
1-433,1-433
1-435,1-435
1-501,1-501
1-502,1-502
1-503,1-503
1-504,1-504
1-505,1-505
1-506,1-506
1-507,1-507
1-508,1-508
1-509,1-509
1-510,1-510
1-511,1-511
1-512,1-512
1-513,1-513
1-514,1-514
1-515,1-515
1-516,1-516
1-517,1-517
1-518,1-518
1-519,1-519
1-520,1-520
1-521,1-521
1-523,1-523
1-525,1-525
1-527,1-527
1-529,1-529
1-531,1-531
1-533,1-533
1-535,1-535
1-601,1-601
1-602,1-602
1-603,1-603
1-604,1-604
1-605,1-605
1-606,1-606
1-607,1-607
1-608,1-608
1-609,1-609
1-610,1-610
1-611,1-611
1-612,1-612
1-613,1-613
1-614,1-614
1-615,1-615
1-616,1-616
1-617,1-617
1-618,1-618
1-619,1-619
1-620,1-620
1-621,1-621
1-623,1-623
1-625,1-625
1-627,1-627
1-629,1-629
1-631,1-631
1-633,1-633
1-635,1-635
1-701,1-701
1-702,1-702
1-703,1-703
1-704,1-704
1-705,1-705
1-706,1-706
1-707,1-707
1-708,1-708
1-709,1-709
1-710,1-710
1-711,1-711
1-712,1-712
1-713,1-713
1-714,1-714
1-715,1-715
1-716,1-716
1-717,1-717
1-718,1-718
1-719,1-719
1-720,1-720
1-721,1-721
1-723,1-723
1-725,1-725
1-727,1-727
1-729,1-729
1-731,1-731
1-733,1-733
1-735,1-735
1-801,1-801
1-802,1-802
1-803,1-803
1-804,1-804
1-805,1-805
1-806,1-806
1-807,1-807
1-808,1-808
1-809,1-809
1-810,1-810
1-811,1-811
1-812,1-812
1-813,1-813
1-814,1-814
1-815,1-815
1-816,1-816
1-817,1-817
1-818,1-818
1-819,1-819
1-820,1-820
1-821,1-821
1-823,1-823
1-825,1-825
1-827,1-827
1-829,1-829
1-831,1-831
1-833,1-833
1-835,1-835
1-901,1-901
1-902,1-902
1-903,1-903
1-904,1-904
1-905,1-905
1-906,1-906
1-907,1-907
1-908,1-908
1-909,1-909
1-910,1-910
1-911,1-911
1-912,1-912
1-913,1-913
1-914,1-914
1-915,1-915
1-916,1-916
1-917,1-917
1-918,1-918
1-919,1-919
1-920,1-920
1-921,1-921
1-923,1-923
1-925,1-925
1-927,1-927
1-929,1-929
1-931,1-931
1-933,1-933
1-935,1-935
1-1001,1-1001
1-1002,1-1002
1-1003,1-1003
1-1004,1-1004
1-1005,1-1005
1-1006,1-1006
1-1007,1-1007
1-1008,1-1008
1-1009,1-1009
1-1010,1-1010
1-1011,1-1011
1-1012,1-1012
1-1013,1-1013
1-1014,1-1014
1-1015,1-1015
1-1016,1-1016
1-1017,1-1017
1-1018,1-1018
1-1019,1-1019
1-1020,1-1020
1-1021,1-1021
1-1023,1-1023
1-1025,1-1025
1-1027,1-1027
1-1029,1-1029
1-1031,1-1031
1-1033,1-1033
1-1035,1-1035
1-1101,1-1101
1-1102,1-1102
1-1103,1-1103
1-1104,1-1104
1-1105,1-1105
1-1106,1-1106
1-1107,1-1107
1-1108,1-1108
1-1109,1-1109
1-1110,1-1110
1-1111,1-1111
1-1112,1-1112
1-1113,1-1113
1-1114,1-1114
1-1115,1-1115
1-1116,1-1116
1-1117,1-1117
1-1118,1-1118
1-1119,1-1119
1-1120,1-1120
1-1121,1-1121
1-1123,1-1123
1-1125,1-1125
1-1127,1-1127
1-1129,1-1129
1-1131,1-1131
1-1133,1-1133
1-1135,1-1135
